Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,4075,170.3108,-18,0,33217,5.27
hWMhwjn-ZKY,5 Ways To Please Maa Kali | Mata's Blessings,"Aug 29, 2021",264,1231,34.1011,7,,14961,6.82
2vXL_9J-6Eo,Maa Kali Gayatri Mantra,"Jan 27, 2022",19,563,3.136,1,,4965,2.74
ZmszIg0pUo8,Real Stories of Maa Kali,"Jun 12, 2023",14,519,0.8381,3,,3554,2.5
7yIUKuLiqck,Kali Kavach | Full Body Protection from Disease & Negative Energy,"Apr 29, 2021",573,302,39.7356,0,,1085,3.13
rNOWfVCvwbk,Lime Offering|Maa Kali,"Jun 19, 2023",26,162,0.6928,0,,638,9.72
Rb90oU4XRKQ,Shiv Panchakshar Stotra | Feel Shiva | With Lyrics,"Feb 23, 2021",630,142,21.5243,0,,641,2.03
s5kOdX3jNtA,3-Food Offerings | Maa Kali,"Jul 28, 2022",152,141,2.7398,0,,1067,10.87
yT_ZZrFWei4,Power Of Kreem Beej Mantra Sadhana,"Sep 13, 2022",525,135,3.9462,0,,855,7.72
ukmnI0Ww1TI,Maa Gauri Namostute #gauri #shiva,"Mar 14, 2026",171,116,0.536,0,,84,3.57
TMM_RSSNB9A,Powerful Kali Shatnaam|100 Divine Names Of Kali,"Oct 7, 2021",821,103,16.6053,0,,356,6.46
Jb9sZB6ijbY,Kali Ashtakam | Grace & Protection,"Aug 7, 2021",317,69,5.1086,0,,163,5.52
IFA-4Wnk7ZA,Kali Varinashanam Kavach,"Sep 28, 2024",254,66,3.2616,0,,177,5.08
LdRm6CM_RGE,Jayanti Mangala Kali #mahakali #blissfulchants #hiva,"Apr 9, 2026",63,65,0.1365,0,,19,10.53
XESsYYgz7_c,Kali Ashtakam Dhyanam,"Jul 11, 2023",54,55,0.1376,0,,919,1.52
dnPdorP4IPw,Maa Kali | Offering Paan (Betel Leaf),"Mar 15, 2022",306,44,1.2075,0,,160,10.63
1rR4HQbY14M,Most Powerful Kali Mantra | Kreem: 108 Times,"Sep 26, 2022",666,39,1.2444,0,,315,6.35
jVB-piPVnFM,Very Powerful Kali Gayatri Chant To Remove Enemies & Sufferings,"Jan 27, 2021",3254,39,13.8586,0,,286,5.94
3QSM9bF2sqI,Lord Shiva Personality,"Jun 14, 2023",29,34,0.1109,0,,159,6.92
thgW4YsXcaY,Bali to Maa Kali,"Apr 12, 2025",103,34,0.4368,0,,182,6.04
wy4uUGW30RQ,32 Divine Names of Durga | End Fear & Stress,"Feb 9, 2021",2596,30,17.3556,0,,60,31.67
z57UUUCWKn8,Kali Sadhana PDF  #maakalim #sadhana,"Sep 20, 2023",27,29,0.0457,0,,456,1.32
la5qbmnQwOk,Quiz-On-LordShiva-1,"Jun 22, 2023",40,19,0.1128,0,,138,3.62
Qh0gVEnGN5Q,Shiv Lingam Pooja,"Jul 22, 2023",235,16,0.1376,0,,24,12.5
M0bZX6R-ADo,More Powerful Than Navaran Mantra | Navaran Maha-Mantra,"May 28, 2022",340,14,0.4563,0,,15,0
Rz-bFSpKkEc,Kali Kreem Chanting #maakali #shiva,"Sep 11, 2023",59,13,0.0516,0,,157,3.82
IYPx24RNQpI,Maa Kalratri Protection Mantra | 108 Times,"Feb 2, 2022",667,12,0.5326,0,,98,8.16
1Lug-aZGBQg,Kailash Trip Details-2024,"Jul 5, 2024",529,12,0.2219,0,,68,2.94
05XPzPDA3nU,Inviting Maa Kali!,"May 23, 2023",210,8,0.1513,0,,77,9.09
noXEipeBJXs,Kali Chalisa Coming Soon....,"Jun 20, 2023",16,7,0.0028,0,,417,0
sZeTRYoENJw,Shree Ganesha Gayatri Mantra,"Mar 29, 2026",253,7,0.2426,0,,113,4.42
2KJaSjBPooU,Lord Kal Bhairava Facts,"Jun 20, 2023",23,5,0.0053,0,,122,0.82
zvtQmK8xCo8,Maa Kali  Personality,"Jun 13, 2023",27,5,0.0107,0,,42,2.38
4JpQv0JlBAE,Jayanti Mangala Kali,"Nov 7, 2022",31,3,0.0052,0,,12,0
QcwwNsb42WI,Quiz-On-MaaKali-1,"Jun 22, 2023",28,3,0.006,0,,70,0
0t36slvzJEU,Cleanse & Purify House | Maa Kali,"Feb 2, 2023",131,2,0.0073,0,,16,12.5
6cSu3mniKIc,Shiv Rudrashtakam,"Jul 11, 2021",277,2,0.0178,0,,7,28.57
FbzcHfF876E,Mantra Sadhana|Connecting with Divinity,"Jan 28, 2022",751,2,0.0114,0,,8,0
 -VoZMqiXBzI,Maa Kali#shorts #maakali,"Feb 2, 2022",17,2,0.0002,0,,6,0
9nvXbto_fVI,Lord Rama #shorts #lordrama #maakali #lordshiva,"Feb 2, 2022",42,2,0.0002,0,,8,0
noEJr1t5flw,Jai Kailash Nivasini #mountkailash #kali,"Jul 9, 2024",18,2,0.0044,0,,71,1.41
0XYh8gMIJMw,Kaliash Sparsh Yatra,"Jul 28, 2025",200,1,0.0085,0,,39,2.56
7aW3663FqCA,Krishna Mahamantra | Sacred Chant for Kali-Yuga,,217,1,0.06,0,,0,
UaYcxqGbAO4,Kashi Ganga Darshan #spiritual #shiva,"Jun 6, 2023",20,1,0.0014,0,,16,0
Scos-Tn6Www,OM Chant - Relax & Rejuvenate Your Self!,"Jan 25, 2021",1774,1,0.0006,0,,9,11.11
uEZnpduhEgQ,Om Namah Shivay - Chant to God's Heart,"Jan 31, 2021",4313,1,0.1452,0,,11,0
3XTLqSxl9tE,Shama Prathana | Forgiveness Chant | 3 Times,"Sep 14, 2021",355,1,0.0028,0,,5,0
XV7jvFFK6NM,Shubh Navratri 2023 #maakali #shiva #navratri,"Oct 15, 2023",53,1,0.0003,0,,28,0
I_dtikXhE2M,The Divine Kali Chalisa,"Jun 24, 2023",384,1,0.0278,0,,36,0
MHU7z0srTbU,Kalabhairav Mantra | Dissolve All Fear,"Nov 15, 2022",849,1,0.0042,0,,37,2.7
jQS3y4Nde88,Mt. Kailash-2024 #mountkailash #shiva #kali,"Jul 8, 2024",19,,,,,34,0
KZDlkd4IvLU,Episode-3-Kailash-Mansarovar,"Aug 29, 2024",226,,,,,25,0
n9WP0JysFFI,Ya Devi Sarva Bhutessu,"Feb 10, 2024",221,,,,,16,0
4jiS_m7ZcpA,Benefits of Mantra Jaap #shiva #mantra #maakali #spirituality #tantra,"Feb 17, 2023",43,,,,,22,0
dGnKuaCnKkA,Pyari Maa Kali,"Sep 21, 2022",59,,,,,7,0
i3CDMmD8P4Q,What We Don't Do! #maakali #shiva,"Nov 1, 2023",65,,,,,21,0
0MAV76R03mg,Hanuman Chalisa | 7 Times,"Sep 6, 2021",2534,,,,,8,0
uoFnuyktW1k,Forms of Maa Kali,"May 24, 2022",122,,,,,15,0
 -WlQKyh57EE,Achyutam Keshvam,"Jul 17, 2021",320,,,,,5,0
nWJpYn2u72s,15 Powerful & Divine Names of Lord Rama,"Nov 4, 2021",427,,,,,12,0
uZq4VxzI2uA,Quiz-On-LordKrishna-1,"Jun 23, 2023",27,,,,,18,0
6xyD77kKZ5A,Episode-1-Kailash Yatra,"Aug 10, 2024",159,,,,,25,0
TzY85Ya9l7k,Rare Krishna Mantra | For Fear & Danger,"Feb 4, 2021",965,,,,,25,0
SzF5zl7MjaE,Shiv Panchakshar-1,"Jun 18, 2023",27,,,,,15,0
dlrIzFwQi1A,Kailash Masarovar Yatra,"Jun 23, 2024",13,,,,,40,0
SllcwOlJfEU,Lord Krishna Qualities,"Jun 16, 2023",23,,,,,31,0
Aj02bzv5fI8,Hai Kailash Meri Aasha,"Sep 12, 2024",196,,,,,32,0
0QQO08zIsRA,Lord Hanuman Personality,"Jun 15, 2023",30,,,,,32,0
QR0r3CcR_Js,Mahadev-Mata Darshan,"Jan 1, 2023",31,,,,,10,0
BvU25vfqDMo,Shree Ram Maha Mantra | Awaken Rama Within!,"Feb 2, 2021",1553,,,,,10,0
2Gvg9IUPCX4,Episode-2-Kailash Yatra,"Aug 23, 2024",205,,,,,21,0
